,NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
13673,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,1,1,1,1,586,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,121706,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1.0,1,1,1,1.0,40.0,40.0,0.0,0.0,30.0,0.0,10.0,0.0,467.0,467.0,0.0,0.0,467.0,0.0,0.0,0.0,29.0,17.0,12.0,29.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,6.0,8.0,0.0,0.0,5.0,95.0,65.0,30.0,95.0,0.0,0.0,75.0,17.0,2.0,0.0,1.0,0.0,0.0,35.0,21.0,26.0,1.0,0.0,12.0,9.0,7.0,2.0,9.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,29.0,0.0,95.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,11.0,0.0,8.0,0.0,43.0,43.0,32.0,0.0,23.0,0.0,5.0,5.0,4.0,0.0,3.0,0.0,16.0,18.0,1.0,0.0,16.0,13.0,0.0,60.0,28.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,130.0,29.0,95.0,9.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
13674,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,1,1,1,1,586,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,1114292,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1.0,1,1,1,1.0,124.0,124.0,0.0,0.0,100.0,0.0,24.0,0.0,1507.0,1507.0,0.0,0.0,1504.0,0.0,3.0,0.0,101.0,72.0,29.0,101.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,93.0,2.0,2.0,1.0,0.0,0.0,0.0,35.0,11.0,32.0,1.0,0.0,22.0,340.0,234.0,106.0,340.0,0.0,3.0,267.0,60.0,4.0,4.0,2.0,0.0,0.0,139.0,35.0,115.0,7.0,1.0,43.0,58.0,38.0,20.0,58.0,0.0,0.0,38.0,19.0,0.0,0.0,1.0,0.0,0.0,32.0,1.0,19.0,2.0,0.0,4.0,100.0,1.0,338.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,30.0,0.0,26.0,0.0,142.0,142.0,75.0,0.0,69.0,0.0,16.0,16.0,4.0,0.0,7.0,0.0,45.0,45.0,0.0,0.0,58.0,42.0,1.0,170.0,147.0,23.0,20.0,23.0,15.0,0.0,0.0,0.0,0.0,430.0,101.0,340.0,58.0,32.0,0.0,32.0,7.0,0.0,0.0,0.0,0.0
13675,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,1,1,1,1,586,NANOTECNOLOGIA,1114291,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística","""0588P01""",5,"Ciências naturais, matemática e estatística",58,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",588,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",1.0,1,1,1,1.0,34.0,34.0,0.0,0.0,20.0,0.0,14.0,0.0,279.0,279.0,0.0,0.0,279.0,0.0,0.0,0.0,20.0,7.0,13.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,4.0,62.0,19.0,43.0,62.0,0.0,1.0,50.0,9.0,1.0,1.0,0.0,0.0,0.0,28.0,3.0,19.0,1.0,0.0,11.0,17.0,6.0,11.0,17.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,3.0,20.0,0.0,62.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,0.0,5.0,0.0,23.0,23.0,9.0,0.0,9.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,11.0,9.0,0.0,27.0,30.0,5.0,3.0,11.0,3.0,0.0,0.0,0.0,0.0,87.0,20.0,62.0,17.0,8.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0
13760,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ABI - ENGENHARIA,5000469,"ABI Engenharia, produção e construção","""0011A07""",0,Programas básicos,1,Programas básicos,11,Programas básicos,,1,1,1,0.0,165.0,165.0,0.0,0.0,120.0,0.0,45.0,0.0,1370.0,1370.0,0.0,0.0,1342.0,0.0,28.0,0.0,120.0,29.0,91.0,120.0,0.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,110.0,8.0,1.0,0.0,0.0,0.0,0.0,39.0,4.0,44.0,0.0,0.0,33.0,409.0,126.0,283.0,409.0,0.0,1.0,355.0,40.0,11.0,2.0,0.0,0.0,0.0,175.0,20.0,123.0,1.0,2.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,1.0,407.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,31.0,0.0,30.0,0.0,179.0,179.0,88.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,49.0,90.0,0.0,61.0,59.0,0.0,203.0,203.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,120.0,409.0,0.0,27.0,0.0,21.0,0.0,10.0,0.0,10.0,0.0
13761,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,CIÊNCIAS BIOLÓGICAS,99287,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,1,1,1.0,53.0,53.0,0.0,0.0,40.0,0.0,13.0,0.0,702.0,702.0,0.0,0.0,693.0,0.0,9.0,0.0,41.0,31.0,10.0,41.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32.0,3.0,2.0,1.0,2.0,0.0,0.0,17.0,7.0,8.0,0.0,0.0,9.0,168.0,115.0,53.0,168.0,0.0,1.0,111.0,39.0,7.0,6.0,3.0,0.0,1.0,64.0,20.0,59.0,2.0,0.0,23.0,20.0,16.0,4.0,20.0,0.0,0.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,11.0,0.0,0.0,2.0,41.0,0.0,168.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,12.0,0.0,10.0,0.0,69.0,69.0,38.0,0.0,31.0,0.0,6.0,6.0,2.0,0.0,1.0,0.0,13.0,23.0,2.0,0.0,23.0,18.0,0.0,99.0,55.0,14.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,206.0,41.0,168.0,20.0,9.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
13762,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,CIÊNCIAS BIOLÓGICAS,1180207,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1.0,1,1,1,1.0,60.0,60.0,0.0,0.0,45.0,0.0,15.0,0.0,703.0,703.0,0.0,0.0,693.0,0.0,10.0,0.0,41.0,29.0,12.0,41.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,16.0,1.0,0.0,9.0,125.0,94.0,31.0,125.0,0.0,0.0,113.0,7.0,2.0,2.0,0.0,1.0,0.0,48.0,13.0,37.0,1.0,0.0,26.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,125.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,12.0,0.0,8.0,0.0,59.0,59.0,37.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,3.0,0.0,24.0,17.0,0.0,76.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,147.0,41.0,125.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13763,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENFERMAGEM E OBSTETRÍCIA,121848,Enfermagem,"""0913E01""",9,Saúde e bem-estar,91,Saúde,913,Enfermagem,1.0,1,1,1,1.0,109.0,109.0,0.0,0.0,80.0,0.0,29.0,0.0,2225.0,2225.0,0.0,0.0,2207.0,0.0,18.0,0.0,82.0,70.0,12.0,82.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,75.0,4.0,1.0,2.0,0.0,0.0,0.0,27.0,9.0,26.0,0.0,0.0,20.0,274.0,245.0,29.0,274.0,0.0,0.0,215.0,33.0,11.0,8.0,6.0,1.0,0.0,96.0,34.0,102.0,4.0,1.0,37.0,11.0,11.0,0.0,11.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,82.0,0.0,274.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,26.0,0.0,20.0,0.0,123.0,123.0,68.0,0.0,58.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,31.0,31.0,3.0,0.0,53.0,29.0,0.0,161.0,105.0,8.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,339.0,82.0,274.0,11.0,38.0,1.0,38.0,8.0,0.0,0.0,0.0,0.0
13764,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENGENHARIA CIVIL,5001283,Engenharia civil,"""0732E01""",7,"Engenharia, produção e construção",73,Arquitetura e construção,732,Engenharia civil e construção,1.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,18.0,36.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,10.0,0.0,0.0,4.0,11.0,6.0,5.0,11.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,36.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,4.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,18.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,38.0,1.0,36.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
13765,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENGENHARIA DE PRODUÇÃO,5001281,Engenharia de produção,"""0725E02""",7,"Engenharia, produção e construção",72,Produção e processamento,725,Produção e processos de fabricação,1.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,4.0,13.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13766,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENGENHARIA MECÂNICA,5001282,Engenharia mecânica,"""0715E02""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,715,Engenharia mecânica e metalurgia,1.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,12.0,49.0,61.0,0.0,0.0,39.0,21.0,1.0,0.0,0.0,0.0,0.0,34.0,1.0,11.0,0.0,0.0,15.0,13.0,1.0,12.0,13.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,61.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,18.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,63.0,0.0,61.0,13.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0
13767,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,FARMÁCIA,120922,Farmácia,"""0916F01""",9,Saúde e bem-estar,91,Saúde,916,Farmácia,1.0,1,1,1,1.0,157.0,157.0,0.0,0.0,100.0,0.0,57.0,0.0,2061.0,2061.0,0.0,0.0,2055.0,0.0,6.0,0.0,101.0,74.0,27.0,101.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,5.0,4.0,2.0,0.0,0.0,0.0,32.0,3.0,35.0,2.0,1.0,28.0,327.0,265.0,62.0,327.0,0.0,0.0,265.0,45.0,11.0,2.0,3.0,1.0,0.0,133.0,29.0,97.0,9.0,1.0,58.0,37.0,32.0,5.0,37.0,0.0,0.0,17.0,19.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,9.0,2.0,0.0,8.0,101.0,0.0,327.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,30.0,0.0,27.0,0.0,130.0,130.0,70.0,0.0,61.0,0.0,8.0,8.0,0.0,0.0,1.0,0.0,37.0,43.0,4.0,1.0,58.0,43.0,0.0,158.0,148.0,21.0,14.0,10.0,13.0,0.0,0.0,0.0,0.0,412.0,101.0,327.0,37.0,19.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0
13768,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,MEDICINA,121850,Medicina,"""0912M01""",9,Saúde e bem-estar,91,Saúde,912,Medicina,1.0,1,1,1,1.0,64.0,64.0,0.0,0.0,60.0,0.0,4.0,0.0,5197.0,5197.0,0.0,0.0,4978.0,0.0,219.0,0.0,63.0,43.0,20.0,63.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,53.0,3.0,6.0,0.0,0.0,0.0,0.0,25.0,2.0,20.0,1.0,0.0,15.0,314.0,198.0,116.0,314.0,0.0,1.0,187.0,86.0,32.0,8.0,0.0,0.0,0.0,156.0,14.0,91.0,4.0,0.0,49.0,37.0,26.0,11.0,37.0,0.0,0.0,5.0,28.0,2.0,2.0,0.0,0.0,0.0,25.0,2.0,4.0,1.0,0.0,5.0,63.0,0.0,313.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,19.0,0.0,15.0,0.0,118.0,118.0,62.0,0.0,53.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,11.0,16.0,1.0,0.0,30.0,33.0,0.0,132.0,161.0,21.0,6.0,13.0,18.0,0.0,0.0,0.0,0.0,342.0,63.0,314.0,37.0,29.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0
13769,2017,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,NUTRIÇÃO,121852,Nutrição,"""0915N01""",9,Saúde e bem-estar,91,Saúde,915,"Promoção, prevenção, terapia e reabilitação",1.0,1,1,1,1.0,95.0,95.0,0.0,0.0,80.0,0.0,15.0,0.0,2666.0,2666.0,0.0,0.0,2652.0,0.0,14.0,0.0,82.0,69.0,13.0,82.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,9.0,2.0,1.0,1.0,0.0,0.0,25.0,1.0,31.0,1.0,0.0,24.0,308.0,272.0,36.0,308.0,0.0,0.0,245.0,45.0,11.0,4.0,2.0,1.0,0.0,117.0,24.0,99.0,5.0,0.0,63.0,29.0,28.0,1.0,29.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,1.0,0.0,14.0,3.0,7.0,0.0,0.0,5.0,82.0,0.0,307.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,27.0,0.0,21.0,0.0,131.0,131.0,72.0,0.0,61.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,29.0,31.0,3.0,0.0,47.0,35.0,0.0,171.0,129.0,8.0,12.0,13.0,4.0,0.0,0.0,0.0,0.0,371.0,82.0,308.0,29.0,33.0,0.0,31.0,10.0,0.0,0.0,0.0,0.0
